Taxon,Month,Age0_baystudy,Age0_djmfp,Age0_fmwt,Age0_suisun,Age0_comb
Acanthogobius flavimanus,9,160,160,160,160,160
Acanthogobius flavimanus,10,175,170,170,175,175
Acanthogobius flavimanus,11,185,175,180,185,185
Acanthogobius flavimanus,12,200,180,190,190,200
Alosa sapidissima,9,135,145,145,120,145
Alosa sapidissima,10,145,165,165,130,165
Alosa sapidissima,11,155,170,170,140,170
Alosa sapidissima,12,170,170,170,140,170
Ameiurus catus,9,100,110,120,65,120
Ameiurus catus,10,100,120,130,70,130
Ameiurus catus,11,100,130,140,75,140
Ameiurus catus,12,100,140,150,80,150
Atherinops affinis,9,100,100,100,NA,100
Atherinops affinis,10,110,100,100,NA,110
Atherinops affinis,11,120,110,110,NA,120
Atherinops affinis,12,130,110,110,NA,130
Atherinopsis californiensis,9,110,NA,NA,NA,110
Atherinopsis californiensis,10,110,NA,NA,NA,110
Atherinopsis californiensis,11,110,NA,NA,NA,110
Atherinopsis californiensis,12,110,NA,NA,NA,110
Citharichthys stigmaeus,9,90,NA,NA,NA,90
Citharichthys stigmaeus,10,90,NA,NA,NA,90
Citharichthys stigmaeus,11,90,NA,NA,NA,90
Citharichthys stigmaeus,12,90,NA,NA,NA,90
Clupea pallasii,9,110,100,100,NA,110
Clupea pallasii,10,110,100,100,NA,110
Clupea pallasii,11,120,100,110,NA,120
Clupea pallasii,12,140,110,110,NA,140
Cymatogaster aggregata,9,110,100,100,NA,110
Cymatogaster aggregata,10,110,100,100,NA,110
Cymatogaster aggregata,11,115,105,100,NA,115
Cymatogaster aggregata,12,115,105,100,NA,115
Dorosoma petenense,9,100,100,90,105,105
Dorosoma petenense,10,120,110,100,110,120
Dorosoma petenense,11,130,120,110,120,130
Dorosoma petenense,12,140,120,120,130,140
Engraulis mordax,9,100,90,100,NA,100
Engraulis mordax,10,100,90,100,NA,100
Engraulis mordax,11,100,90,100,NA,100
Engraulis mordax,12,100,90,100,NA,100
Genyonemus lineatus,9,125,NA,NA,NA,125
Genyonemus lineatus,10,135,NA,NA,NA,135
Genyonemus lineatus,11,150,NA,NA,NA,150
Genyonemus lineatus,12,150,NA,NA,NA,150
Hypomesus transpacificus,9,75,75,75,NA,75
Hypomesus transpacificus,10,80,80,80,NA,80
Hypomesus transpacificus,11,80,80,80,NA,80
Hypomesus transpacificus,12,80,80,80,NA,80
Hysterocarpus traskii,9,120,130,NA,110,130
Hysterocarpus traskii,10,130,140,NA,120,140
Hysterocarpus traskii,11,140,150,NA,130,150
Hysterocarpus traskii,12,150,160,NA,140,160
Ictalurus punctatus,9,100,110,110,NA,110
Ictalurus punctatus,10,110,120,120,NA,120
Ictalurus punctatus,11,110,130,130,NA,130
Ictalurus punctatus,12,110,140,140,NA,140
Ilypnus gilberti,9,65,NA,NA,NA,65
Ilypnus gilberti,10,65,NA,NA,NA,65
Ilypnus gilberti,11,65,NA,NA,NA,65
Ilypnus gilberti,12,65,NA,NA,NA,65
Lepidogobius lepidus,9,40,NA,NA,NA,40
Lepidogobius lepidus,10,40,NA,NA,NA,40
Lepidogobius lepidus,11,40,NA,NA,NA,40
Lepidogobius lepidus,12,40,NA,NA,NA,40
Leptocottus armatus,9,180,160,180,180,180
Leptocottus armatus,10,185,170,180,185,185
Leptocottus armatus,11,190,180,180,190,190
Leptocottus armatus,12,200,190,180,200,200
Microgadus proximus,9,140,NA,NA,NA,140
Microgadus proximus,10,150,NA,NA,NA,150
Microgadus proximus,11,160,NA,NA,NA,160
Microgadus proximus,12,170,NA,NA,NA,170
Morone saxatilis,9,135,135,140,135,140
Morone saxatilis,10,145,145,150,145,150
Morone saxatilis,11,155,155,160,155,160
Morone saxatilis,12,165,165,170,165,170
Oncorhynchus tshawytscha,9,250,250,250,NA,250
Oncorhynchus tshawytscha,10,250,250,250,NA,250
Oncorhynchus tshawytscha,11,250,250,250,NA,250
Oncorhynchus tshawytscha,12,250,250,250,NA,250
Paralichthys californicus,9,200,NA,NA,NA,200
Paralichthys californicus,10,210,NA,NA,NA,210
Paralichthys californicus,11,220,NA,NA,NA,220
Paralichthys californicus,12,230,NA,NA,NA,230
Parophrys vetulus,9,150,NA,NA,NA,150
Parophrys vetulus,10,155,NA,NA,NA,155
Parophrys vetulus,11,160,NA,NA,NA,160
Parophrys vetulus,12,165,NA,NA,NA,165
Peprilus simillimus,9,160,NA,NA,NA,160
Peprilus simillimus,10,160,NA,NA,NA,160
Peprilus simillimus,11,160,NA,NA,NA,160
Peprilus simillimus,12,160,NA,NA,NA,160
Platichthys stellatus,9,150,NA,165,150,165
Platichthys stellatus,10,160,NA,165,155,165
Platichthys stellatus,11,170,NA,165,160,170
Platichthys stellatus,12,180,NA,165,165,180
Pogonichthys macrolepidotus,9,150,145,140,130,150
Pogonichthys macrolepidotus,10,155,155,150,140,155
Pogonichthys macrolepidotus,11,160,160,160,150,160
Pogonichthys macrolepidotus,12,165,170,170,150,170
Porichthys notatus,9,80,NA,NA,NA,80
Porichthys notatus,10,85,NA,NA,NA,85
Porichthys notatus,11,90,NA,NA,NA,90
Porichthys notatus,12,95,NA,NA,NA,95
Sardinops sagax,9,90,NA,NA,NA,90
Sardinops sagax,10,100,NA,NA,NA,100
Sardinops sagax,11,110,NA,NA,NA,110
Sardinops sagax,12,120,NA,NA,NA,120
Sebastes auriculatus,9,100,NA,NA,NA,100
Sebastes auriculatus,10,105,NA,NA,NA,105
Sebastes auriculatus,11,110,NA,NA,NA,110
Sebastes auriculatus,12,115,NA,NA,NA,115
Spirinchus thaleichthys,9,80,80,80,80,80
Spirinchus thaleichthys,10,85,85,85,85,85
Spirinchus thaleichthys,11,90,85,85,90,90
Spirinchus thaleichthys,12,95,90,90,90,95
Syngnathus leptorhynchus,9,250,250,NA,NA,250
Syngnathus leptorhynchus,10,250,250,NA,NA,250
Syngnathus leptorhynchus,11,250,250,NA,NA,250
Syngnathus leptorhynchus,12,250,250,NA,NA,250
Tridentiger bifasciatus,9,60,60,60,60,60
Tridentiger bifasciatus,10,70,70,70,70,70
Tridentiger bifasciatus,11,70,70,70,70,70
Tridentiger bifasciatus,12,80,80,80,75,80
Tridentiger trigonocephalus,9,50,NA,NA,NA,50
Tridentiger trigonocephalus,10,50,NA,NA,NA,50
Tridentiger trigonocephalus,11,55,NA,NA,NA,55
Tridentiger trigonocephalus,12,55,NA,NA,NA,55
Cyprinella lutrensis,9,NA,60,NA,NA,60
Cyprinella lutrensis,10,NA,60,NA,NA,60
Cyprinella lutrensis,11,NA,60,NA,NA,60
Cyprinella lutrensis,12,NA,60,NA,NA,60
